Property,FreeConduktor,Kafka 3.2.0 / Conduktor
min.insync.replicas,Minimum replicas that must acknowledge a write for it to succeed (used with acks=all),"When a producer sets acks to ""all"" (or ""-1""), this configuration specifies the minimum number of replicas that must acknowledge a write for the write to be considered successful. If this minimum cannot be met, then the producer will raise an exception (either NotEnoughReplicas or NotEnoughReplicasAfterAppend). When used together, min.insync.replicas and acks allow you to enforce greater durability guarantees. A typical scenario would be to create a topic with a replication factor of 3, set min.insync.replicas to 2, and produce with acks of ""all"". This will ensure that the producer raises an exception if a majority of replicas do not receive a write."
retention.bytes,Maximum size a partition can grow before old segments are discarded. -1 = unlimited,"This configuration controls the maximum size a partition (which consists of log segments) can grow to before we will discard old log segments to free up space if we are using the ""delete"" retention policy. By default there is no size limit only a time limit. Since this limit is enforced at the partition level, multiply it by the number of partitions to compute the topic retention in bytes."
retention.ms,How long messages are retained. -1 = forever,"This configuration controls the maximum time we will retain a log before we will discard old log segments to free up space if we are using the ""delete"" retention policy. This represents an SLA on how soon consumers must read their data. If set to -1, no time limit is applied."
compression.type,"Compression codec for stored messages: producer, gzip, snappy, lz4, zstd, or uncompressed","Specify the final compression type for a given topic. This configuration accepts the standard compression codecs ('gzip', 'snappy', 'lz4', 'zstd'). It additionally accepts 'uncompressed' which is equivalent to no compression; and 'producer' which means retain the original compression codec set by the producer."
delete.retention.ms,How long delete tombstone markers are kept on compacted topics before being removed,The amount of time to retain delete tombstone markers for log compacted topics. This setting also gives a bound on the time in which a consumer must complete a read if they begin from offset 0 to ensure that they get a valid snapshot of the final stage (otherwise delete tombstones may be collected before they complete their scan).
file.delete.delay.ms,Time to wait before deleting a segment file from disk after it is marked for deletion,The time to wait before deleting a file from the filesystem
flush.messages,Number of messages written before forcing an fsync to disk. Higher values improve throughput,This setting allows specifying an interval at which we will force an fsync of data written to the log. For example if this was set to 1 we would fsync after every message; if it were 5 we would fsync after every five messages. In general we recommend you not set this and use replication for durability and allow the operating system's background flush capabilities as it is more efficient.
flush.ms,Maximum time between forced fsyncs. Higher values improve throughput at the cost of durability,This setting allows specifying a time interval at which we will force an fsync of data written to the log. For example if this was set to 1000 we would fsync after 1000 ms had passed. In general we recommend you not set this and use replication for durability and allow the operating system's background flush capabilities as it is more efficient.
index.interval.bytes,How frequently an offset entry is added to the segment index (roughly every N bytes),This setting controls how frequently Kafka adds an index entry to its offset index. The default setting ensures that we index a message roughly every 4096 bytes. More indexing allows reads to jump closer to the exact position in the log but makes the index larger. You probably don't need to change this.
local.retention.bytes,Max bytes retained locally before older data is moved to remote (tiered) storage. -2 = use retention.bytes,"The maximum size of local log segments that can grow for a partition before it deletes the old segments. Default value is -2, it represents retention.bytes value to be used. The effective value should always be less than or equal to retention.bytes value."
local.retention.ms,Max time data is kept locally before being offloaded to remote storage. -2 = use retention.ms,"The number of milliseconds to keep the local log segment before it gets deleted. Default value is -2, it represents retention.ms value is to be used. The effective value should always be less than or equal to retention.ms value."
max.compaction.lag.ms,Maximum time a message can remain ineligible for log compaction,The maximum time a message will remain ineligible for compaction in the log. Only applicable for logs that are being compacted.
max.message.bytes,Largest compressed record batch the broker will accept for this topic,"The largest record batch size allowed by Kafka (after compression if compression is enabled). If this is increased and there are consumers older than 0.10.2, the consumers' fetch size must also be increased so that they can fetch record batches this large. In the latest message format version, records are always grouped into batches for efficiency. In previous message format versions, uncompressed records are not grouped into batches and this limit only applies to a single record in that case."
message.downconversion.enable,Allow the broker to down-convert message formats for older consumer clients,"This configuration controls whether down-conversion of message formats is enabled to satisfy consume requests. When set to false, broker will not perform down-conversion for consumers expecting an older message format. The broker responds with UNSUPPORTED_VERSION error for consume requests from such older clients. This configuration does not apply to any message format conversion that might be required for replication to followers."
message.format.version,Override the message format version written to the log (deprecated in Kafka 3.x),"[DEPRECATED] Specify the message format version the broker will use to append messages to the logs. The value of this config is always assumed to be 3.0 if inter.broker.protocol.version is 3.0 or higher (the actual config value is ignored). Otherwise, the value should be a valid ApiVersion. Some examples are: 0.10.0, 1.1, 2.8, 3.0. By setting a particular message format version, the user is certifying that all the existing messages on disk are smaller or equal than the specified version. Setting this value incorrectly will cause consumers with older versions to break as they will receive messages with a format that they don't understand."
message.timestamp.difference.max.ms,Max allowed difference between broker time and message timestamp before the message is rejected,"The maximum difference allowed between the timestamp when a broker receives a message and the timestamp specified in the message. If message.timestamp.type=CreateTime, a message will be rejected if the difference in timestamp exceeds this threshold. This configuration is ignored if message.timestamp.type=LogAppendTime."
message.timestamp.type,Whether the timestamp is set by the producer (CreateTime) or stamped by the broker (LogAppendTime),Define whether the timestamp in the message is message create time or log append time. The value should be either CreateTime or LogAppendTime
min.cleanable.dirty.ratio,Minimum ratio of dirty log to total log that triggers compaction to run,"This configuration controls how frequently the log compactor will attempt to clean the log (assuming log compaction is enabled). By default we will avoid cleaning a log where more than 50% of the log has been compacted. This ratio bounds the maximum space wasted in the log by duplicates (at 50% at most 50% of the log could be duplicates). A higher ratio will mean fewer, more efficient cleanings but will mean more wasted space in the log. If the max.compaction.lag.ms or the min.compaction.lag.ms configurations are also specified, then the log compactor considers the log to be eligible for compaction as soon as either: (i) the dirty ratio threshold has been met and the log has had dirty (uncompacted) records for at least the min.compaction.lag.ms duration, or (ii) if the log has had dirty (uncompacted) records for at most the max.compaction.lag.ms period."
min.compaction.lag.ms,Minimum time a message must remain uncompacted in the log,The minimum time a message will remain uncompacted in the log. Only applicable for logs that are being compacted.
preallocate,Pre-allocate log segment files on disk to avoid fragmentation,True if we should preallocate the file on disk when creating a new log segment.
remote.storage.enable,Enable tiered remote storage for this topic (requires remote storage to be configured on the broker),"To enable tier storage for a topic, set remote.storage.enable as true. You can not disable this config once it is enabled. It will be provided in future versions."
segment.bytes,Target size of a single log segment file. A new segment is rolled when this size is reached,This configuration controls the segment file size for the log. Retention and cleaning is always done a file at a time so a larger segment size means fewer files but less granular control over retention.
segment.index.bytes,Maximum size of the offset index for a single log segment,This configuration controls the size of the index that maps offsets to file positions. We preallocate this index file and shrink it only after log rolls. You generally should not need to change this setting.
segment.jitter.ms,Random jitter applied to segment roll time to avoid many segments rolling simultaneously,The maximum random jitter subtracted from the scheduled segment roll time to avoid thundering herds of segment rolling
segment.ms,"Maximum time before the log is forced to roll to a new segment, even if segment.bytes is not reached",This configuration controls the period of time after which Kafka will force the log to roll even if the segment file isn't full to ensure that retention can delete or compact old data.
unclean.leader.election.enable,Allow out-of-sync replicas to become leader when no in-sync replica is available (risks data loss),"Indicates whether to enable replicas not in the ISR set to be elected as leader as a last resort, even though doing so may result in data loss."
leader.replication.throttled.replicas,Comma-separated list of partition:broker pairs throttled on the leader side during reassignment,"A list of replicas for which log replication should be throttled on the leader side. The list should describe a set of replicas in the form [PartitionId]:[BrokerId],[PartitionId]:[BrokerId]:... or alternatively the wildcard '*' can be used to throttle all replicas for this topic."
follower.replication.throttled.replicas,Comma-separated list of partition:broker pairs throttled on the follower side during reassignment,"A list of replicas for which log replication should be throttled on the follower side. The list should describe a set of replicas in the form [PartitionId]:[BrokerId],[PartitionId]:[BrokerId]:... or alternatively the wildcard '*' can be used to throttle all replicas for this topic."
